"date","activity","value","source"
2020-02-27,"transit",111.27,"Apple"
2020-02-28,"transit",122.41,"Apple"
2020-02-29,"transit",129.48,"Apple"
2020-03-01,"transit",109.14,"Apple"
2020-03-02,"transit",102.74,"Apple"
2020-03-03,"transit",105.44,"Apple"
2020-03-04,"transit",106.93,"Apple"
2020-03-05,"transit",106.97,"Apple"
2020-03-06,"transit",118.77,"Apple"
2020-03-07,"transit",127.78,"Apple"
2020-03-08,"transit",100.86,"Apple"
2020-03-09,"transit",98.05,"Apple"
2020-03-10,"transit",99.47,"Apple"
2020-03-11,"transit",94.33,"Apple"
2020-03-12,"transit",86.28,"Apple"
2020-03-13,"transit",89.95,"Apple"
2020-03-14,"transit",94.84,"Apple"
2020-03-15,"transit",67.46,"Apple"
2020-03-16,"transit",57.95,"Apple"
2020-03-17,"transit",46.33,"Apple"
2020-03-18,"transit",40.32,"Apple"
2020-03-19,"transit",38.7,"Apple"
2020-03-20,"transit",34.64,"Apple"
2020-03-21,"transit",28.01,"Apple"
2020-03-22,"transit",25.9,"Apple"
2020-03-23,"transit",24.44,"Apple"
2020-03-24,"transit",17.15,"Apple"
2020-03-25,"transit",15.43,"Apple"
2020-03-26,"transit",14.49,"Apple"
2020-03-27,"transit",14.05,"Apple"
2020-03-28,"transit",13.6,"Apple"
2020-03-29,"transit",13.3,"Apple"
2020-03-30,"transit",14.16,"Apple"
2020-03-31,"transit",13.92,"Apple"
2020-04-01,"transit",13.66,"Apple"
2020-04-02,"transit",13.65,"Apple"
2020-04-03,"transit",13.36,"Apple"
2020-04-04,"transit",12.51,"Apple"
2020-04-05,"transit",12.83,"Apple"
2020-04-06,"transit",13.65,"Apple"
2020-04-07,"transit",13.36,"Apple"
2020-04-08,"transit",13.18,"Apple"
2020-04-09,"transit",13.25,"Apple"
2020-04-10,"transit",12.7,"Apple"
2020-04-11,"transit",12.1,"Apple"
2020-04-12,"transit",11.21,"Apple"
2020-04-13,"transit",12.72,"Apple"
2020-04-14,"transit",13.72,"Apple"
2020-04-15,"transit",13.91,"Apple"
2020-04-16,"transit",13.62,"Apple"
2020-04-17,"transit",13.17,"Apple"
2020-04-18,"transit",12.6,"Apple"
2020-04-19,"transit",13.58,"Apple"
2020-04-20,"transit",14.78,"Apple"
2020-04-21,"transit",14.7,"Apple"
2020-04-22,"transit",14.73,"Apple"
2020-04-23,"transit",14.85,"Apple"
2020-04-24,"transit",14.57,"Apple"
2020-04-25,"transit",14.42,"Apple"
2020-04-26,"transit",15.21,"Apple"
2020-04-27,"transit",15.41,"Apple"
2020-04-28,"transit",14.57,"Apple"
2020-04-29,"transit",15.04,"Apple"
2020-04-30,"transit",14.84,"Apple"
2020-05-01,"transit",15.62,"Apple"
2020-05-02,"transit",15.94,"Apple"
2020-05-03,"transit",16.21,"Apple"
2020-05-04,"transit",17.38,"Apple"
2020-05-05,"transit",17.57,"Apple"
2020-05-06,"transit",17.49,"Apple"
2020-05-07,"transit",17.67,"Apple"
2020-05-08,"transit",17.78,"Apple"
2020-05-09,"transit",18.45,"Apple"
2020-05-10,"transit",17.92,"Apple"
2020-05-11,"transit",NA,"Apple"
2020-05-12,"transit",NA,"Apple"
2020-03-02,"Journeys",100,"Citymapper"
2020-03-03,"Journeys",102,"Citymapper"
2020-03-04,"Journeys",100,"Citymapper"
2020-03-05,"Journeys",101,"Citymapper"
2020-03-06,"Journeys",99,"Citymapper"
2020-03-07,"Journeys",97,"Citymapper"
2020-03-08,"Journeys",94,"Citymapper"
2020-03-09,"Journeys",97,"Citymapper"
2020-03-10,"Journeys",97,"Citymapper"
2020-03-11,"Journeys",91,"Citymapper"
2020-03-12,"Journeys",84,"Citymapper"
2020-03-13,"Journeys",75,"Citymapper"
2020-03-14,"Journeys",75,"Citymapper"
2020-03-15,"Journeys",67,"Citymapper"
2020-03-16,"Journeys",60,"Citymapper"
2020-03-17,"Journeys",44,"Citymapper"
2020-03-18,"Journeys",36,"Citymapper"
2020-03-19,"Journeys",39,"Citymapper"
2020-03-20,"Journeys",31,"Citymapper"
2020-03-21,"Journeys",23,"Citymapper"
2020-03-22,"Journeys",23,"Citymapper"
2020-03-23,"Journeys",25,"Citymapper"
2020-03-24,"Journeys",15,"Citymapper"
2020-03-25,"Journeys",12,"Citymapper"
2020-03-26,"Journeys",10,"Citymapper"
2020-03-27,"Journeys",9,"Citymapper"
2020-03-28,"Journeys",8,"Citymapper"
2020-03-29,"Journeys",8,"Citymapper"
2020-03-30,"Journeys",10,"Citymapper"
2020-03-31,"Journeys",10,"Citymapper"
2020-04-01,"Journeys",9,"Citymapper"
2020-04-02,"Journeys",9,"Citymapper"
2020-04-03,"Journeys",8,"Citymapper"
2020-04-04,"Journeys",7,"Citymapper"
2020-04-05,"Journeys",9,"Citymapper"
2020-04-06,"Journeys",9,"Citymapper"
2020-04-07,"Journeys",9,"Citymapper"
2020-04-08,"Journeys",8,"Citymapper"
2020-04-09,"Journeys",8,"Citymapper"
2020-04-10,"Journeys",8,"Citymapper"
2020-04-11,"Journeys",7,"Citymapper"
2020-04-12,"Journeys",7,"Citymapper"
2020-04-13,"Journeys",8,"Citymapper"
2020-04-14,"Journeys",9,"Citymapper"
2020-04-15,"Journeys",9,"Citymapper"
2020-04-16,"Journeys",8,"Citymapper"
2020-04-17,"Journeys",8,"Citymapper"
2020-04-18,"Journeys",7,"Citymapper"
2020-04-19,"Journeys",9,"Citymapper"
2020-04-20,"Journeys",10,"Citymapper"
2020-04-21,"Journeys",9,"Citymapper"
2020-04-22,"Journeys",9,"Citymapper"
2020-04-23,"Journeys",9,"Citymapper"
2020-04-24,"Journeys",9,"Citymapper"
2020-04-25,"Journeys",8,"Citymapper"
2020-04-26,"Journeys",10,"Citymapper"
2020-04-27,"Journeys",10,"Citymapper"
2020-04-28,"Journeys",9,"Citymapper"
2020-04-29,"Journeys",9,"Citymapper"
2020-04-30,"Journeys",9,"Citymapper"
2020-05-01,"Journeys",9,"Citymapper"
2020-05-02,"Journeys",9,"Citymapper"
2020-05-03,"Journeys",10,"Citymapper"
2020-05-04,"Journeys",11,"Citymapper"
2020-05-05,"Journeys",11,"Citymapper"
2020-05-06,"Journeys",11,"Citymapper"
2020-05-07,"Journeys",11,"Citymapper"
2020-05-08,"Journeys",11,"Citymapper"
2020-05-09,"Journeys",11,"Citymapper"
2020-05-10,"Journeys",10,"Citymapper"
2020-05-11,"Journeys",13,"Citymapper"
2020-05-12,"Journeys",12,"Citymapper"
2020-02-27,"Transit stations",99,"Google"
2020-02-28,"Transit stations",98,"Google"
2020-02-29,"Transit stations",95,"Google"
2020-03-01,"Transit stations",105,"Google"
2020-03-02,"Transit stations",97,"Google"
2020-03-03,"Transit stations",96,"Google"
2020-03-04,"Transit stations",96,"Google"
2020-03-05,"Transit stations",94,"Google"
2020-03-06,"Transit stations",97,"Google"
2020-03-07,"Transit stations",96,"Google"
2020-03-08,"Transit stations",96,"Google"
2020-03-09,"Transit stations",94,"Google"
2020-03-10,"Transit stations",93,"Google"
2020-03-11,"Transit stations",90,"Google"
2020-03-12,"Transit stations",87,"Google"
2020-03-13,"Transit stations",82,"Google"
2020-03-14,"Transit stations",78,"Google"
2020-03-15,"Transit stations",76,"Google"
2020-03-16,"Transit stations",75,"Google"
2020-03-17,"Transit stations",63,"Google"
2020-03-18,"Transit stations",57,"Google"
2020-03-19,"Transit stations",53,"Google"
2020-03-20,"Transit stations",49,"Google"
2020-03-21,"Transit stations",42,"Google"
2020-03-22,"Transit stations",39,"Google"
2020-03-23,"Transit stations",37,"Google"
2020-03-24,"Transit stations",28,"Google"
2020-03-25,"Transit stations",24,"Google"
2020-03-26,"Transit stations",23,"Google"
2020-03-27,"Transit stations",23,"Google"
2020-03-28,"Transit stations",22,"Google"
2020-03-29,"Transit stations",20,"Google"
2020-03-30,"Transit stations",21,"Google"
2020-03-31,"Transit stations",21,"Google"
2020-04-01,"Transit stations",20,"Google"
2020-04-02,"Transit stations",20,"Google"
2020-04-03,"Transit stations",21,"Google"
2020-04-04,"Transit stations",23,"Google"
2020-04-05,"Transit stations",24,"Google"
2020-04-06,"Transit stations",21,"Google"
2020-04-07,"Transit stations",22,"Google"
2020-04-08,"Transit stations",21,"Google"
2020-04-09,"Transit stations",22,"Google"
2020-04-10,"Transit stations",18,"Google"
2020-04-11,"Transit stations",23,"Google"
2020-04-12,"Transit stations",22,"Google"
2020-04-13,"Transit stations",15,"Google"
2020-04-14,"Transit stations",22,"Google"
2020-04-15,"Transit stations",22,"Google"
2020-04-16,"Transit stations",21,"Google"
2020-04-17,"Transit stations",21,"Google"
2020-04-18,"Transit stations",23,"Google"
2020-04-19,"Transit stations",25,"Google"
2020-04-20,"Transit stations",23,"Google"
2020-04-21,"Transit stations",23,"Google"
2020-04-22,"Transit stations",23,"Google"
2020-04-23,"Transit stations",23,"Google"
2020-04-24,"Transit stations",25,"Google"
2020-04-25,"Transit stations",26,"Google"
2020-04-26,"Transit stations",28,"Google"
2020-04-27,"Transit stations",24,"Google"
2020-04-28,"Transit stations",20,"Google"
2020-04-29,"Transit stations",23,"Google"
2020-04-30,"Transit stations",22,"Google"
2020-05-01,"Transit stations",25,"Google"
2020-05-02,"Transit stations",29,"Google"
2020-05-03,"Transit stations",26,"Google"
2020-05-04,"Transit stations",26,"Google"
2020-05-05,"Transit stations",25,"Google"
2020-05-06,"Transit stations",26,"Google"
2020-05-07,"Transit stations",27,"Google"
2020-03-16,"TfL - Bus",79,"TfL Bus"
2020-03-17,"TfL - Bus",70,"TfL Bus"
2020-03-18,"TfL - Bus",65,"TfL Bus"
2020-03-19,"TfL - Bus",59,"TfL Bus"
2020-03-20,"TfL - Bus",52,"TfL Bus"
2020-03-21,"TfL - Bus",39,"TfL Bus"
2020-03-22,"TfL - Bus",32,"TfL Bus"
2020-03-23,"TfL - Bus",31,"TfL Bus"
2020-03-24,"TfL - Bus",22,"TfL Bus"
2020-03-25,"TfL - Bus",19,"TfL Bus"
2020-03-26,"TfL - Bus",18,"TfL Bus"
2020-03-27,"TfL - Bus",18,"TfL Bus"
2020-03-28,"TfL - Bus",17,"TfL Bus"
2020-03-29,"TfL - Bus",16,"TfL Bus"
2020-03-30,"TfL - Bus",17,"TfL Bus"
2020-03-31,"TfL - Bus",17,"TfL Bus"
2020-04-01,"TfL - Bus",16,"TfL Bus"
2020-04-02,"TfL - Bus",16,"TfL Bus"
2020-04-03,"TfL - Bus",16,"TfL Bus"
2020-04-04,"TfL - Bus",17,"TfL Bus"
2020-04-05,"TfL - Bus",17,"TfL Bus"
2020-04-06,"TfL - Bus",18,"TfL Bus"
2020-04-07,"TfL - Bus",18,"TfL Bus"
2020-04-08,"TfL - Bus",17,"TfL Bus"
2020-04-09,"TfL - Bus",18,"TfL Bus"
2020-04-10,"TfL - Bus",17,"TfL Bus"
2020-04-11,"TfL - Bus",16,"TfL Bus"
2020-04-12,"TfL - Bus",14,"TfL Bus"
2020-04-13,"TfL - Bus",18,"TfL Bus"
2020-04-14,"TfL - Bus",19,"TfL Bus"
2020-04-15,"TfL - Bus",18,"TfL Bus"
2020-04-16,"TfL - Bus",18,"TfL Bus"
2020-04-17,"TfL - Bus",18,"TfL Bus"
2020-04-18,"TfL - Bus",16,"TfL Bus"
2020-03-16,"TfL - Tube",60,"TfL Tube"
2020-03-17,"TfL - Tube",44,"TfL Tube"
2020-03-18,"TfL - Tube",35,"TfL Tube"
2020-03-19,"TfL - Tube",30,"TfL Tube"
2020-03-20,"TfL - Tube",24,"TfL Tube"
2020-03-21,"TfL - Tube",13,"TfL Tube"
2020-03-22,"TfL - Tube",11,"TfL Tube"
2020-03-23,"TfL - Tube",15,"TfL Tube"
2020-03-24,"TfL - Tube",9,"TfL Tube"
2020-03-25,"TfL - Tube",7,"TfL Tube"
2020-03-26,"TfL - Tube",6,"TfL Tube"
2020-03-27,"TfL - Tube",6,"TfL Tube"
2020-03-28,"TfL - Tube",4,"TfL Tube"
2020-03-29,"TfL - Tube",4,"TfL Tube"
2020-03-30,"TfL - Tube",5,"TfL Tube"
2020-03-31,"TfL - Tube",5,"TfL Tube"
2020-04-01,"TfL - Tube",5,"TfL Tube"
2020-04-02,"TfL - Tube",5,"TfL Tube"
2020-04-03,"TfL - Tube",5,"TfL Tube"
2020-04-04,"TfL - Tube",4,"TfL Tube"
2020-04-05,"TfL - Tube",4,"TfL Tube"
2020-04-06,"TfL - Tube",5,"TfL Tube"
2020-04-07,"TfL - Tube",5,"TfL Tube"
2020-04-08,"TfL - Tube",5,"TfL Tube"
2020-04-09,"TfL - Tube",5,"TfL Tube"
2020-04-10,"TfL - Tube",4,"TfL Tube"
2020-04-11,"TfL - Tube",4,"TfL Tube"
2020-04-12,"TfL - Tube",4,"TfL Tube"
2020-04-13,"TfL - Tube",5,"TfL Tube"
2020-04-14,"TfL - Tube",5,"TfL Tube"
2020-04-15,"TfL - Tube",5,"TfL Tube"
2020-04-16,"TfL - Tube",5,"TfL Tube"
2020-04-17,"TfL - Tube",5,"TfL Tube"
2020-04-18,"TfL - Tube",4,"TfL Tube"
2020-04-19,"TfL - Tube",4,"TfL Tube"
2020-04-20,"TfL - Tube",5,"TfL Tube"
2020-04-21,"TfL - Tube",5,"TfL Tube"
2020-04-22,"TfL - Tube",5,"TfL Tube"
2020-04-23,"TfL - Tube",5,"TfL Tube"
2020-04-24,"TfL - Tube",5,"TfL Tube"
2020-04-25,"TfL - Tube",4,"TfL Tube"
2020-04-26,"TfL - Tube",4,"TfL Tube"
2020-04-27,"TfL - Tube",5,"TfL Tube"
2020-04-28,"TfL - Tube",5,"TfL Tube"
2020-04-29,"TfL - Tube",5,"TfL Tube"
2020-04-30,"TfL - Tube",5,"TfL Tube"
2020-05-01,"TfL - Tube",5,"TfL Tube"
2020-05-02,"TfL - Tube",4,"TfL Tube"
2020-05-03,"TfL - Tube",4,"TfL Tube"
2020-05-04,"TfL - Tube",6,"TfL Tube"
2020-05-05,"TfL - Tube",6,"TfL Tube"
2020-05-06,"TfL - Tube",5,"TfL Tube"
2020-05-07,"TfL - Tube",5,"TfL Tube"
2020-05-08,"TfL - Tube",7,"TfL Tube"
2020-05-09,"TfL - Tube",5,"TfL Tube"
2020-05-10,"TfL - Tube",4,"TfL Tube"
2020-05-11,"TfL - Tube",6,"TfL Tube"
